"ISO3","name","n"
"AFG","Afghanistan",2
"ALB","Albania",1
"AUT","Austria",4
"AZE","Azerbaijan",1
"BOL","Bolivia",1
"BRA","Brazil",1
"BHS","Bahamas",3
"CHE","Switzerland",2
"CHN","China",2
"CUB","Cuba",2
"CZE","Czech Republic",1
"DEU","Germany",2
"EGY","Egypt",2
"ESP","Spain",2
"FRA","France",4
"GBR","United Kingdom",22
"GRC","Greece",1
"HKG","Hong Kong",3
"HRV","Croatia",1
"HTI","Haiti",1
"IND","India",1
"ISL","Iceland",1
"ITA","Italy",7
"JAM","Jamaica",2
"JPN","Japan",1
"PRK","North Korea",1
"KOR","South Korea",1
"KAZ","Kazakhstan",1
"LBN","Lebanon",1
"MAR","Morocco",2
"MCO","Monaco",1
"MNE","Montenegro",1
"MDG","Madagascar",1
"MAC","Macau",2
"MEX","Mexico",3
"NLD","Netherlands",1
"PAK","Pakistan",2
"PRT","Portugal",1
"SRB","Serbia",1
"RUS","Russia",4
"SVK","Slovakia",1
"THA","Thailand",1
"TUR","Turkey",3
"UGA","Uganda",1
"USA","United States of America",9
"VAT","Vatican",1
"VNM","Vietnam",1
"ZAF","South Africa",1
